"Position","Name","Profile Link"
138,"Padma Jyoti","https://en.wikipedia.org/wiki/Padma_Jyoti"
139,"Shiv Raj Joshi","https://en.wikipedia.org/wiki/Shiv_Raj_Joshi"
140,"Arjun Narasingha K.C.","https://en.wikipedia.org/wiki/Arjun_Narasingha_K.C."
141,"Chitra Bahadur K.C.","https://en.wikipedia.org/wiki/Chitra_Bahadur_K.C."
142,"Dipak Bahadur K.C.","https://en.wikipedia.org/wiki/Dipak_Bahadur_K.C."
143,"Gyanu K.C.","https://en.wikipedia.org/wiki/Gyanu_K.C."
144,"Nilam K.C. (Khadka)","https://en.wikipedia.org/wiki/Nilam_K.C._(Khadka)"
145,"Tanka Prasad Sharma Kadel","https://en.wikipedia.org/wiki/Tanka_Prasad_Sharma_Kadel"
146,"Yam Lal Kandel","https://en.wikipedia.org/wiki/Yam_Lal_Kandel"
147,"Birendra Kumar Kanudiya","https://en.wikipedia.org/wiki/Birendra_Kumar_Kanudiya"
148,"Dipak Karki (Jhapa politician)","https://en.wikipedia.org/wiki/Dipak_Karki_(Jhapa_politician)"
149,"Dipak Karki (Dhanusha politician)","https://en.wikipedia.org/wiki/Dipak_Karki_(Dhanusha_politician)"
150,"Ram Karki","https://en.wikipedia.org/wiki/Ram_Karki"
151,"Sushila Karki","https://en.wikipedia.org/wiki/Sushila_Karki"
152,"Kailash Nath Kasudhan","https://en.wikipedia.org/wiki/Kailash_Nath_Kasudhan"
153,"Rajendra Kumar KC","https://en.wikipedia.org/wiki/Rajendra_Kumar_KC"
154,"Gauri Shankar Khadka","https://en.wikipedia.org/wiki/Gauri_Shankar_Khadka"
155,"Hari Bahadur Khadka","https://en.wikipedia.org/wiki/Hari_Bahadur_Khadka"
156,"Bishal Khadka","https://en.wikipedia.org/wiki/Bishal_Khadka"
157,"Narayan Khadka","https://en.wikipedia.org/wiki/Narayan_Khadka"
158,"Shankar Bahadur Khadka","https://en.wikipedia.org/wiki/Shankar_Bahadur_Khadka"
159,"Jhala Nath Khanal","https://en.wikipedia.org/wiki/Jhala_Nath_Khanal"
160,"Raju Khanal","https://en.wikipedia.org/wiki/Raju_Khanal"
161,"Prakash Koirala","https://en.wikipedia.org/wiki/Prakash_Koirala"
162,"Shashanka Koirala","https://en.wikipedia.org/wiki/Shashanka_Koirala"
163,"Shekhar Koirala","https://en.wikipedia.org/wiki/Shekhar_Koirala"
164,"Sujata Koirala","https://en.wikipedia.org/wiki/Sujata_Koirala"
165,"Sushil Koirala","https://en.wikipedia.org/wiki/Sushil_Koirala"
166,"Narendra Bahadur Kunwor","https://en.wikipedia.org/wiki/Narendra_Bahadur_Kunwor"
167,"Sher Bahadur Kunwor","https://en.wikipedia.org/wiki/Sher_Bahadur_Kunwor"
168,"Chinak Kurmi","https://en.wikipedia.org/wiki/Chinak_Kurmi"
169,"Dan Bahadur Kurmi","https://en.wikipedia.org/wiki/Dan_Bahadur_Kurmi"
170,"Dil Bahadur Lama","https://en.wikipedia.org/wiki/Dil_Bahadur_Lama"
171,"Mani Lama","https://en.wikipedia.org/wiki/Mani_Lama"
172,"Tirtha Bahadur Lama","https://en.wikipedia.org/wiki/Tirtha_Bahadur_Lama"
173,"Ramesh Lekhak","https://en.wikipedia.org/wiki/Ramesh_Lekhak"
174,"Bishwodip Lingden Limbu","https://en.wikipedia.org/wiki/Bishwodip_Lingden_Limbu"
175,"Hari Raj Limbu","https://en.wikipedia.org/wiki/Hari_Raj_Limbu"
176,"Purna Kumar Sharma Limbu","https://en.wikipedia.org/wiki/Purna_Kumar_Sharma_Limbu"
177,"Til Kumar Menyangbo Limbu","https://en.wikipedia.org/wiki/Til_Kumar_Menyangbo_Limbu"
178,"Prakash Chandra Lohani","https://en.wikipedia.org/wiki/Prakash_Chandra_Lohani"
179,"Balaram Gharti Magar","https://en.wikipedia.org/wiki/Balaram_Gharti_Magar"
180,"Onsari Gharti Magar","https://en.wikipedia.org/wiki/Onsari_Gharti_Magar"
181,"Suresh Ale Magar","https://en.wikipedia.org/wiki/Suresh_Ale_Magar"
182,"Krishna Bahadur Mahara","https://en.wikipedia.org/wiki/Krishna_Bahadur_Mahara"
183,"Chandra Maharjan","https://en.wikipedia.org/wiki/Chandra_Maharjan"
184,"Ram Saran Mahat","https://en.wikipedia.org/wiki/Ram_Saran_Mahat"
185,"Muga Lal Mahato","https://en.wikipedia.org/wiki/Muga_Lal_Mahato"
186,"Rajendra Mahato","https://en.wikipedia.org/wiki/Rajendra_Mahato"
187,"Chandra Prakash Mainali","https://en.wikipedia.org/wiki/Chandra_Prakash_Mainali"
188,"Keshav Prasad Mainali","https://en.wikipedia.org/wiki/Keshav_Prasad_Mainali"
189,"Radha Krishna Mainali","https://en.wikipedia.org/wiki/Radha_Krishna_Mainali"
190,"Kali Bahadur Malla","https://en.wikipedia.org/wiki/Kali_Bahadur_Malla"
191,"Sapana Pradhan Malla","https://en.wikipedia.org/wiki/Sapana_Pradhan_Malla"
192,"Suresh Malla","https://en.wikipedia.org/wiki/Suresh_Malla"
193,"Ram Bir Manandhar","https://en.wikipedia.org/wiki/Ram_Bir_Manandhar"
194,"Farmulha Mansur","https://en.wikipedia.org/wiki/Farmulha_Mansur"
195,"Farmulla Mansur","https://en.wikipedia.org/wiki/Farmulla_Mansur"
196,"Chandra Lal Meche","https://en.wikipedia.org/wiki/Chandra_Lal_Meche"
